0,2012-2014,01-2015,02-2015,03-2015,04-2015,05-2015,06-2015,07-2015,08-2015,09-2015,10-2015,11-2015,12-2015,01-2016,02-2016,03-2016,04-2016,05-2016,06-2016,07-2016,08-2016,09-2016,10-2016,11-2016,12-2016,01-2017,02-2017,03-2017,04-2017,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,Nov-17 to May-18
Books/Film,0,0.01375,0,0.01506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feel Good/Motivaiton,0.05739,0.01302,0.04725,0.04691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sports,0,0.0209,0.02552,0.01987,0.03224,0,0.03634,0,0,0.02728,0.02121,0.01357,0.02246,0.02267,0.02513,0.03002,0.03289,0.0235,0.01977,0.0203,0.01963,0,0.04015,0,0.03127,0.04514,0.04323,0.05517,0.04272,0.06497,0.03005,0,0,0,0,0
No topic,0.05063,0.01442,0,0.0132,0,0.02146,0.03262,0,0,0,0.01508,0,0,0.03127,0,0.01851,0.01924,0.02479,0.0184,0.0155,0,0,0,0.03761,0.07697,0.15477,0,0.13642,0.137,0.0547,0.03018,0.03837,0.03452,0,0,0
International Headlines,0,0.02446,0.01734,0.01567,0.02342,0,0.02766,0,0,0.02994,0.01886,0.02753,0.0251,0.02625,0.02105,0.0278,0.02732,0.0223,0.02261,0.02933,0.02713,0.03623,0.0444,0,0.03572,0,0,0,0.08186,0.03664,0,0,0,0.00492,0,0
Local/Crime Headlines,0,0.02503,0.04046,0.02712,0.04725,0.03197,0.05013,0.0284,0,0.03807,0.03404,0.01999,0.03043,0.03868,0.03422,0.04075,0.04304,0.03089,0.02607,0.02874,0.03026,0.04729,0.04671,0.04652,0.04823,0.06165,0.0639,0.07638,0.0688,0.06028,0.05638,0.07635,0,0,0,0
Nuclear Issues,0,0.01233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscars,0,0,0.01777,0,0,0,0,0,0,0,0,0,0,0.01718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Headlines,0,0,0.01546,0,0.01722,0.0198,0.02149,0,0.02492,0.02584,0.02549,0.01864,0.03199,0.03193,0.03407,0.03086,0.0276,0.02839,0.02604,0.02293,0,0.04307,0,0,0,0.05727,0.05694,0.04739,0.05676,0,0,0,0,0,0,0
Hashtags,0,0,0,0,0.05976,0.01889,0,0,0,0.04786,0,0.01279,0,0.02718,0.01067,0,0.03922,0.02461,0.02861,0.01824,0.01407,0.03264,0.09293,0.028,0.03327,0.0515,0.14948,0,0.03457,0,0,0,0,0,0,0.02772
Racial Issues,0,0,0,0,0.02188,0,0,0,0.01216,0,0.02773,0.01276,0,0.02532,0.03411,0.02599,0,0.02434,0.0216,0.02929,0.0238,0.02583,0.03976,0,0,0,0,0,0,0,0,0,0.02295,0,0,0
U.S. Presidential Primary,0,0,0,0,0,0,0.02726,0,0,0,0.02099,0.03009,0.02954,0.02588,0.02104,0.03109,0.01442,0.01756,0.02488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Music,0.06398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02304,0.03199,0.03184,0.03618,0.02837,0.03306,0.0287,0.03625,0,0.03618,0,0,0,0
Syrian Conflict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02875,0.03182,0,0,0,0,0,0,0,0,0
U.S. Presidential Election,0,0,0,0,0.0254,0.01998,0,0,0,0.02589,0,0,0,0,0,0.02471,0,0,0,0.02097,0.03114,0.06181,0.08931,0.08504,0.0548,0.06496,0,0,0,0,0,0.02849,0,0,0,0
Women's March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03144,0,0,0,0,0,0,0,0,0,0
Trump Inauguration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07182,0,0,0,0,0,0,0,0,0,0
Internet Culture,0,0,0.01963,0.01731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinations,0,0,0.01899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
